transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC011-1,2026-06-05,ACME CORP SALARY CREDIT,13000.0,CREDIT,True,False
TX-TC011-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-4800.0,DEBIT,False,True
TX-TC011-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC011-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC011-5,2026-07-05,ACME CORP SALARY CREDIT,13000.0,CREDIT,True,False
TX-TC011-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-4800.0,DEBIT,False,True
TX-TC011-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC011-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC011-9,2026-07-05,ACME CORP SALARY CREDIT,13000.0,CREDIT,True,False
TX-TC011-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-4800.0,DEBIT,False,True
TX-TC011-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC011-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
