transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC008-1,2026-06-05,ACME CORP SALARY CREDIT,7200.0,CREDIT,True,False
TX-TC008-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC008-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC008-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC008-5,2026-07-05,ACME CORP SALARY CREDIT,7200.0,CREDIT,True,False
TX-TC008-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC008-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC008-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC008-9,2026-07-05,ACME CORP SALARY CREDIT,7200.0,CREDIT,True,False
TX-TC008-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC008-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC008-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
