transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC014-1,2026-06-05,ACME CORP SALARY CREDIT,7000.0,CREDIT,True,False
TX-TC014-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC014-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC014-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC014-5,2026-07-05,ACME CORP SALARY CREDIT,7000.0,CREDIT,True,False
TX-TC014-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC014-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC014-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC014-9,2026-07-05,ACME CORP SALARY CREDIT,7000.0,CREDIT,True,False
TX-TC014-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC014-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC014-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
