transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC001-1,2026-06-05,ACME CORP SALARY CREDIT,8500.0,CREDIT,True,False
TX-TC001-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC001-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC001-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC001-5,2026-07-05,ACME CORP SALARY CREDIT,8500.0,CREDIT,True,False
TX-TC001-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC001-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC001-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC001-9,2026-07-05,ACME CORP SALARY CREDIT,8500.0,CREDIT,True,False
TX-TC001-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-600.0,DEBIT,False,True
TX-TC001-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC001-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
