transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC009-1,2026-06-05,ACME CORP SALARY CREDIT,11000.0,CREDIT,True,False
TX-TC009-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-2100.0,DEBIT,False,True
TX-TC009-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC009-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC009-5,2026-07-05,ACME CORP SALARY CREDIT,11000.0,CREDIT,True,False
TX-TC009-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-2100.0,DEBIT,False,True
TX-TC009-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC009-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC009-9,2026-07-05,ACME CORP SALARY CREDIT,11000.0,CREDIT,True,False
TX-TC009-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-2100.0,DEBIT,False,True
TX-TC009-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC009-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
