transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC003-1,2026-06-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC003-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-2500.0,DEBIT,False,True
TX-TC003-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC003-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC003-5,2026-07-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC003-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-2500.0,DEBIT,False,True
TX-TC003-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC003-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC003-9,2026-07-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC003-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-2500.0,DEBIT,False,True
TX-TC003-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC003-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
