transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC005-1,2026-06-05,ACME CORP SALARY CREDIT,9500.0,CREDIT,True,False
TX-TC005-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-3200.0,DEBIT,False,True
TX-TC005-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC005-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC005-5,2026-07-05,ACME CORP SALARY CREDIT,9500.0,CREDIT,True,False
TX-TC005-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-3200.0,DEBIT,False,True
TX-TC005-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC005-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC005-9,2026-07-05,ACME CORP SALARY CREDIT,9500.0,CREDIT,True,False
TX-TC005-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-3200.0,DEBIT,False,True
TX-TC005-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC005-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
