transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC002-1,2026-06-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC002-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-800.0,DEBIT,False,True
TX-TC002-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC002-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC002-5,2026-07-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC002-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-800.0,DEBIT,False,True
TX-TC002-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC002-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC002-9,2026-07-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC002-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-800.0,DEBIT,False,True
TX-TC002-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC002-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
