transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC013-1,2026-06-05,ACME CORP SALARY CREDIT,6000.0,CREDIT,True,False
TX-TC013-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-3800.0,DEBIT,False,True
TX-TC013-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC013-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC013-5,2026-07-05,ACME CORP SALARY CREDIT,6000.0,CREDIT,True,False
TX-TC013-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-3800.0,DEBIT,False,True
TX-TC013-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC013-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC013-9,2026-07-05,ACME CORP SALARY CREDIT,6000.0,CREDIT,True,False
TX-TC013-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-3800.0,DEBIT,False,True
TX-TC013-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC013-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
