transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC007-1,2026-06-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC007-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-700.0,DEBIT,False,True
TX-TC007-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC007-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC007-5,2026-07-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC007-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-700.0,DEBIT,False,True
TX-TC007-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC007-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC007-9,2026-07-05,ACME CORP SALARY CREDIT,8000.0,CREDIT,True,False
TX-TC007-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-700.0,DEBIT,False,True
TX-TC007-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC007-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
