transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC012-1,2026-06-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC012-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-2800.0,DEBIT,False,True
TX-TC012-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC012-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC012-5,2026-07-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC012-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-2800.0,DEBIT,False,True
TX-TC012-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC012-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC012-9,2026-07-05,ACME CORP SALARY CREDIT,9000.0,CREDIT,True,False
TX-TC012-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-2800.0,DEBIT,False,True
TX-TC012-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC012-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
