transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC018-1,2026-06-05,ACME CORP SALARY CREDIT,7800.0,CREDIT,True,False
TX-TC018-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC018-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC018-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC018-5,2026-07-05,ACME CORP SALARY CREDIT,7800.0,CREDIT,True,False
TX-TC018-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC018-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC018-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC018-9,2026-07-05,ACME CORP SALARY CREDIT,7800.0,CREDIT,True,False
TX-TC018-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-500.0,DEBIT,False,True
TX-TC018-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC018-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
