transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC020-1,2026-06-05,ACME CORP SALARY CREDIT,18000.0,CREDIT,True,False
TX-TC020-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-8500.0,DEBIT,False,True
TX-TC020-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC020-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC020-5,2026-07-05,ACME CORP SALARY CREDIT,18000.0,CREDIT,True,False
TX-TC020-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-8500.0,DEBIT,False,True
TX-TC020-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC020-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC020-9,2026-07-05,ACME CORP SALARY CREDIT,18000.0,CREDIT,True,False
TX-TC020-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-8500.0,DEBIT,False,True
TX-TC020-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC020-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
