transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC010-1,2026-06-05,ACME CORP SALARY CREDIT,9800.0,CREDIT,True,False
TX-TC010-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-1200.0,DEBIT,False,True
TX-TC010-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC010-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC010-5,2026-07-05,ACME CORP SALARY CREDIT,9800.0,CREDIT,True,False
TX-TC010-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-1200.0,DEBIT,False,True
TX-TC010-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC010-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC010-9,2026-07-05,ACME CORP SALARY CREDIT,9800.0,CREDIT,True,False
TX-TC010-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-1200.0,DEBIT,False,True
TX-TC010-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC010-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
